,id,name,grade level,course,course score
0,0000,Thomas Conrad,9,Algebra 1,70
1,0000,Thomas Conrad,9,Biology,87
2,0000,Thomas Conrad,9,World Geography,74
3,0000,Thomas Conrad,9,English 1,77
4,0000,Thomas Conrad,9,Physical Education,88
5,0001,Adam Duran,9,Algebra 1,94
6,0001,Adam Duran,9,Biology,74
7,0001,Adam Duran,9,World Geography,72
8,0001,Adam Duran,9,English 1,75
9,0001,Adam Duran,9,Computer Science,84
10,0002,Tammy Robbins,9,Algebra 1,71
11,0002,Tammy Robbins,9,Biology,80
12,0002,Tammy Robbins,9,World Geography,90
13,0002,Tammy Robbins,9,English 1,100
14,0002,Tammy Robbins,9,Computer Science,95
15,0002,Tammy Robbins,10,Geometry,70
16,0002,Tammy Robbins,10,Chemistry,76
17,0002,Tammy Robbins,10,World History,85
18,0002,Tammy Robbins,10,English 2,98
19,0002,Tammy Robbins,10,Cooking,92
20,0003,Sandra Sexton,9,Geometry,87
21,0003,Sandra Sexton,9,Biology,88
22,0003,Sandra Sexton,9,World Geography,92
23,0003,Sandra Sexton,9,English 1,75
24,0003,Sandra Sexton,9,Yearbook,73
25,0003,Sandra Sexton,10,Algebra 2,91
26,0003,Sandra Sexton,10,Chemistry,86
27,0003,Sandra Sexton,10,World History,94
28,0003,Sandra Sexton,10,English 2,79
29,0003,Sandra Sexton,10,Cooking,77
30,0003,Sandra Sexton,11,Precalculus,93
31,0003,Sandra Sexton,11,Physics,83
32,0003,Sandra Sexton,11,American History,91
33,0003,Sandra Sexton,11,English 3,75
34,0003,Sandra Sexton,11,Studio Art,80
35,0004,Michelle Davis,9,Algebra 1,97
36,0004,Michelle Davis,9,Biology,79
37,0004,Michelle Davis,9,World Geography,72
38,0004,Michelle Davis,9,English 1,88
39,0004,Michelle Davis,9,Music,84
40,0004,Michelle Davis,10,Geometry,100
41,0004,Michelle Davis,10,Chemistry,79
42,0004,Michelle Davis,10,World History,70
43,0004,Michelle Davis,10,English 2,83
44,0004,Michelle Davis,10,Physical Education,79
45,0005,David Knight,9,Geometry,72
46,0005,David Knight,9,Biology,70
47,0005,David Knight,9,World Geography,88
48,0005,David Knight,9,English 1,79
49,0005,David Knight,9,Physical Education,99
50,0005,David Knight,10,Algebra 2,70
51,0005,David Knight,10,Chemistry,72
52,0005,David Knight,10,World History,93
53,0005,David Knight,10,English 2,81
54,0005,David Knight,10,Music,99
55,0006,Frederick Moreno,9,Algebra 1,77
56,0006,Frederick Moreno,9,Biology,70
57,0006,Frederick Moreno,9,World Geography,93
58,0006,Frederick Moreno,9,English 1,83
59,0006,Frederick Moreno,9,Computer Science,85
60,0006,Frederick Moreno,10,Geometry,77
61,0006,Frederick Moreno,10,Chemistry,73
62,0006,Frederick Moreno,10,World History,89
63,0006,Frederick Moreno,10,English 2,85
64,0006,Frederick Moreno,10,Yearbook,80
65,0007,Lauren Rosales,9,Geometry,100
66,0007,Lauren Rosales,9,Biology,75
67,0007,Lauren Rosales,9,World Geography,99
68,0007,Lauren Rosales,9,English 1,73
69,0007,Lauren Rosales,9,Yearbook,80
70,0007,Lauren Rosales,10,Algebra 2,96
71,0007,Lauren Rosales,10,Chemistry,70
72,0007,Lauren Rosales,10,World History,100
73,0007,Lauren Rosales,10,English 2,77
74,0007,Lauren Rosales,10,Studio Art,82
75,0007,Lauren Rosales,11,Precalculus,95
76,0007,Lauren Rosales,11,Physics,75
77,0007,Lauren Rosales,11,American History,99
78,0007,Lauren Rosales,11,English 3,74
79,0007,Lauren Rosales,11,Cooking,84
80,0007,Lauren Rosales,12,Calculus,91
81,0007,Lauren Rosales,12,Environmental Science,73
82,0007,Lauren Rosales,12,American Government,100
83,0007,Lauren Rosales,12,English 4,79
84,0007,Lauren Rosales,12,Studio Art,83
85,0008,Kara Rogers,9,Algebra 1,89
86,0008,Kara Rogers,9,Biology,78
87,0008,Kara Rogers,9,World Geography,96
88,0008,Kara Rogers,9,English 1,87
89,0008,Kara Rogers,9,Yearbook,92
90,0008,Kara Rogers,10,Geometry,87
91,0008,Kara Rogers,10,Chemistry,79
92,0008,Kara Rogers,10,World History,92
93,0008,Kara Rogers,10,English 2,90
94,0008,Kara Rogers,10,Physical Education,87
95,0008,Kara Rogers,11,Algebra 2,83
96,0008,Kara Rogers,11,Physics,76
97,0008,Kara Rogers,11,American History,91
98,0008,Kara Rogers,11,English 3,92
99,0008,Kara Rogers,11,Yearbook,86
100,0008,Kara Rogers,12,Precalculus,88
101,0008,Kara Rogers,12,Astronomy,76
102,0008,Kara Rogers,12,Economics,96
103,0008,Kara Rogers,12,English 4,91
104,0008,Kara Rogers,12,Computer Science,82
105,0009,Donna Turner,9,Algebra 1,93
106,0009,Donna Turner,9,Biology,100
107,0009,Donna Turner,9,World Geography,93
108,0009,Donna Turner,9,English 1,96
109,0009,Donna Turner,9,Cooking,89
110,0009,Donna Turner,10,Geometry,89
111,0009,Donna Turner,10,Chemistry,100
112,0009,Donna Turner,10,World History,88
113,0009,Donna Turner,10,English 2,94
114,0009,Donna Turner,10,Cooking,88
115,0009,Donna Turner,11,Algebra 2,87
116,0009,Donna Turner,11,Physics,100
117,0009,Donna Turner,11,American History,90
118,0009,Donna Turner,11,English 3,93
119,0009,Donna Turner,11,Computer Science,93
120,0009,Donna Turner,12,Precalculus,82
121,0009,Donna Turner,12,Astronomy,100
122,0009,Donna Turner,12,American Government,89
123,0009,Donna Turner,12,English 4,89
124,0009,Donna Turner,12,Studio Art,95
125,0010,Kathy Graham,9,Algebra 1,76
126,0010,Kathy Graham,9,Biology,81
127,0010,Kathy Graham,9,World Geography,95
128,0010,Kathy Graham,9,English 1,70
129,0010,Kathy Graham,9,Cooking,81
130,0011,Tracey Perez,9,Algebra 1,75
131,0011,Tracey Perez,9,Biology,77
132,0011,Tracey Perez,9,World Geography,96
133,0011,Tracey Perez,9,English 1,84
134,0011,Tracey Perez,9,Physical Education,94
135,0011,Tracey Perez,10,Geometry,78
136,0011,Tracey Perez,10,Chemistry,76
137,0011,Tracey Perez,10,World History,98
138,0011,Tracey Perez,10,English 2,89
139,0011,Tracey Perez,10,Physical Education,96
140,0012,Andrew Green,9,Algebra 1,80
141,0012,Andrew Green,9,Biology,82
142,0012,Andrew Green,9,World Geography,76
