id,name,age,grade,gender
0000,Thomas Conrad,15,9,Male
0001,Adam Duran,15,9,Male
0002,Tammy Robbins,15,10,Female
0003,Sandra Sexton,17,11,Female
0004,Michelle Davis,16,10,Female
0005,David Knight,15,10,Male
0006,Frederick Moreno,16,10,Male
0007,Lauren Rosales,17,12,Female
0008,Kara Rogers,17,12,Female
0009,Donna Turner,18,12,Female
0010,Kathy Graham,15,9,Female
0011,Tracey Perez,16,10,Female
0012,Andrew Green,14,9,Male
0013,Christopher Smith,15,10,Male
0014,Patricia Brooks,14,9,Female
0015,Robert Jones,18,12,Male
0016,John Smith,15,10,Male
0017,Phillip Medina,18,12,Male
0018,Cody Beasley,17,11,Male
0019,Carla Nelson,17,11,Female
0020,Jason Crawford,17,11,Male
0021,Craig Saunders,16,10,Male
0022,Julian Hoffman,18,12,Male
0023,Mrs. Diana Kelly MD,17,12,Female
0024,Aaron Hendrix,17,11,Male
0025,Kenneth Hill,17,11,Male
0026,Sara Williams,16,10,Female
0027,Jimmy Davidson,17,11,Male
0028,Wanda Thornton,17,12,Female
0029,William Bishop,17,12,Male
0030,Cynthia Oliver,14,9,Female
0031,Julie Montgomery,17,12,Female
0032,Stephanie Henderson,18,12,Female
0033,Christopher Figueroa,16,11,Male
0034,Eric Hernandez,18,12,Male
0035,Amy Jennings,15,9,Female
0036,Sandra Larson,18,12,Female
0037,Deborah Price,17,11,Female
0038,Sarah Hoffman,15,9,Female
0039,Vincent Perez,17,12,Male
0040,Melissa Harrison,15,10,Female
0041,Audrey Ross,15,9,Female
0042,Antonio Bush,15,9,Male
0043,Gregory Swanson,15,10,Male
0044,Lori Collins,17,12,Female
0045,Kenneth Murray,16,10,Male
0046,Paul Barber,17,11,Male
0047,Jeffrey Haynes,16,11,Male
0048,Deborah Woods,16,11,Female
0049,Bobby Clark,16,10,Male
0050,Glenn Leach,14,9,Male
0051,Bruce Palmer,16,10,Male
0052,Karen Newton,14,9,Female
0053,Thomas Estrada,18,12,Male
0054,Rachel Ramirez,15,9,Female
0055,Jaime Mcdonald,14,9,Female
0056,Brian Lewis,15,10,Male
0057,Kyle Collins,17,11,Male
0058,James Campbell,15,10,Male
0059,Sara Lopez,14,9,Female
0060,Sabrina Cox,18,12,Female
0061,Christopher Torres MD,16,11,Male
0062,Michele Baxter,17,12,Female
0063,Jermaine Brown,16,10,Male
0064,Justin Anderson,15,10,Male
0065,Sydney Nelson,15,9,Female
0066,Amber Mcmillan,15,10,Female
0067,Michelle Rogers,17,12,Female
0068,Whitney Mcdonald,15,10,Female
0069,Roy Jacobs,17,11,Male
0070,Paul Moyer,17,12,Male
0071,Robyn Quinn,17,12,Female
0072,Marcus Lloyd,17,12,Male
0073,Melissa Rodriguez,14,9,Female
0074,Elizabeth Woods,18,12,Female
0075,Rodney Wallace,17,12,Male
0076,Robert Gonzalez,18,12,Male
0077,Aaron Hoffman,17,12,Male
0078,Michelle Garcia,18,12,Female
0079,Ashley Reed,15,9,Female
0080,Mrs. Erica Moore,17,12,Female
0081,Michael Martinez,18,12,Male
0082,Allen Austin,17,11,Male
0083,Cynthia Rollins,15,9,Female
0084,Elizabeth Chandler,15,9,Female
0085,Shannon Flores,16,10,Female
0086,Craig Smith,16,10,Male
0087,Jennifer Brown,14,9,Female
0088,Amy Curry,15,9,Female
0089,Bradley Murphy,17,11,Male
0090,Matthew Kent,14,9,Male
0091,Michael White,15,9,Male
0092,Makayla Garner,18,12,Female
0093,Danny Decker,18,12,Male
0094,Matthew Sanchez,14,9,Male
0095,Janet Greene,16,10,Female
